id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
388,53,4,51,14,14,-1.76524652837874,2.50250034052918,0.00976839520332556,0,2.484906649788,60,0,NaN,NaN,NaN,NaN,NaN
389,53,5,52,1,11,-1.92192809488736,2,0.0780719051126377,0,0,80,0,0,0,1090,1220,2666
389,53,5,53,2,11,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,80,1,0,0,1674,1207,1999
389,53,5,54,3,11,-1.84237099317711,2.58496250072116,0.0633218643778377,0,0.693147180559945,80,0,0,0,1394,1228,950
389,53,5,55,4,11,-1.75,1.22239242133645,0.014873671697026,0,1.79175946922805,80,1,0,0,1492,1075,2013
389,53,5,56,5,11,-1.65774272650489,1,0.00892394016177784,0,3.17805383034795,80,1,0,0,1149,1242,37
389,53,5,57,6,11,-1.57095059445467,0.84799690655495,0.00581755005522628,0,4.78749174278205,80,1,0,0,1895,1009,1633
389,53,5,58,7,11,-1.49111485005519,0.736965594166206,0.00401892619144098,0,4.78749174278205,80,1,0,0,1134,881,1989
389,53,5,59,8,11,-1.61400546285422,3.4594316186373,0.0411357845828078,0,3.17805383034795,80,0,0,NaN,1075,1231,2330
389,53,5,60,9,11,-1.54659356429494,0.777607578663552,0.00307359977538463,0,4.78749174278205,80,1,0,NaN,2221,1061,340
389,53,5,61,10,11,-1.48383170684469,0.700439718141092,0.00232229701068887,0,4.78749174278205,80,1,-1,0,1329,866,1037
389,53,5,62,11,11,-1.42560519901694,0.637429920615292,0.00179972207911885,1,4.78749174278205,80,1,0,NaN,2196,945,249
390,53,6,63,1,5,-1.92192809488736,2,0.0780719051126377,0,0,100,0,NaN,NaN,NaN,NaN,NaN
390,53,6,64,2,5,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,3,0,1738,1058,1043
390,53,6,65,3,5,-1.66449777920046,1,0.0147718639657485,0,1.79175946922805,100,1,0,NaN,1785,890,1890
390,53,6,66,4,5,-1.5487949406954,0.807354922057604,0.00855998136220558,0,3.17805383034795,100,1,0,0,1205,1149,2307
390,53,6,67,5,5,-1.44661666762821,0.678071905112638,0.00543126911355016,1,4.78749174278205,100,1,0,0,2224,866,790
391,53,7,68,1,15,-1.92192809488736,2,0.0780719051126377,0,0,60,0,NaN,NaN,NaN,NaN,NaN
391,53,7,69,2,15,-1.91829583405449,2.32192809488736,0.0702989274995393,0,0,60,0,0,NaN,1053,1226,2073
391,53,7,70,3,15,-1.95021206491475,2.58496250072116,0.0633218643778377,0,0,60,0,0,NaN,1209,1189,943
391,53,7,71,4,15,-1.90563906222957,1.8073549220576,0.0267158598280377,0,0.693147180559945,60,1,2,0,965,1085,2220
391,53,7,72,5,15,-1.83659166810898,1.41503749927884,0.0145361093482848,0,1.79175946922805,60,1,0,NaN,312,891,524
391,53,7,73,6,15,-1.92192809488736,3.16992500144231,0.0479969065549502,0,1.79175946922805,60,0,0,NaN,1342,992,2407
391,53,7,74,7,15,-1.85855521187031,1.32192809488736,0.0088274284715933,0,1.79175946922805,60,1,3,0,544,1231,3093
391,53,7,75,8,15,-1.79248125036058,1.13750352374993,0.00598632083303802,0,3.17805383034795,60,1,4,1,1225,822,1097
391,53,7,76,9,15,-1.72724860626392,1,0.00427254791507445,0,4.78749174278205,60,1,0,NaN,1177,1013,2063
391,53,7,77,10,15,-1.77832835373141,2.70043971814109,0.0184339033808786,0,3.17805383034795,60,0,0,NaN,1246,746,1000
391,53,7,78,11,15,-1.72323142879762,1,0.00320836801836343,0,3.17805383034795,60,1,1,0,497,1200,1750
391,53,7,79,12,15,-1.78063906222957,2.90689059560852,0.0165710644937353,0,3.17805383034795,60,0,0,0,1344,1047,2130
391,53,7,80,13,15,-1.73222166376165,1,0.00249745363088484,0,3.17805383034795,60,1,0,0,715,531,1316
391,53,7,81,14,15,-1.68497744848673,0.917537839808027,0.00198400283305474,0,3.17805383034795,60,1,0,0,1127,1297,2496
391,53,7,82,15,15,-1.74877259474022,3.16992500144231,0.0143599881125936,0,1.79175946922805,60,0,0,0,2161,938,1219
392,53,8,83,1,12,-1.92192809488736,2,0.0780719051126377,0,0,80,0,3,0,1618,1265,1797
392,53,8,84,2,12,-1.91829583405449,2.32192809488736,0.0702989274995393,0,0,80,1,0,NaN,1577,1223,810
392,53,8,85,3,12,-1.84237099317711,1.58496250072116,0.0283057932583333,0,0.693147180559945,80,1,2,1,1237,1284,2133
392,53,8,86,4,12,-1.75,1.22239242133645,0.014873671697026,0,1.79175946922805,80,1,0,NaN,1279,1265,1776
392,53,8,87,5,12,-1.65774272650489,1,0.00892394016177784,0,3.17805383034795,80,1,0,NaN,206,1063,470
392,53,8,88,6,12,-1.76096404744368,3.16992500144231,0.0479969065549501,0,3.17805383034795,80,0,3,0,1558,1264,1433
392,53,8,89,7,12,-1.68581570915303,1,0.00596978852304346,0,4.78749174278205,80,1,0,0,574,974,2857
392,53,8,90,8,12,-1.61400546285422,0.874469117916141,0.00419803036240251,0,4.78749174278205,80,1,1,0,1479,1276,1463
392,53,8,91,9,12,-1.54659356429494,0.777607578663552,0.00307359977538463,0,4.78749174278205,80,1,0,NaN,1979,913,926
392,53,8,92,10,12,-1.48383170684469,0.700439718141092,0.00232229701068887,0,4.78749174278205,80,1,0,NaN,1042,1242,2053
392,53,8,93,11,12,-1.42560519901694,0.637429920615292,0.00179972207911885,0,4.78749174278205,80,1,0,NaN,1608,1168,1943
392,53,8,94,12,12,-1.50161447181018,2.90689059560852,0.0165710644937353,1,4.78749174278205,80,0,0,0,1133,-267,100
393,53,9,95,1,4,-1.92192809488736,2,0.0780719051126377,0,0,100,0,4,0,2085,971,863
393,53,9,96,2,4,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,0,NaN,1347,1020,2269
393,53,9,97,3,4,-1.66449777920046,1,0.0147718639657485,0,1.79175946922805,100,1,0,0,552,923,2836
393,53,9,98,4,4,-1.5487949406954,0.807354922057604,0.00855998136220557,1,3.17805383034795,100,1,0,NaN,1111,1228,1617
394,53,10,99,1,15,-1.92192809488736,2,0.0780719051126377,0,0,60,0,2,0,1161,892,1746
394,53,10,100,2,15,-1.91829583405449,2.32192809488736,0.0702989274995393,0,0,60,1,0,NaN,1237,923,1186
394,53,10,101,3,15,-1.84237099317711,1.58496250072116,0.0283057932583333,0,0.693147180559945,60,1,0,0,1116,967,2410
394,53,10,102,4,15,-1.90563906222957,2.8073549220576,0.0573549220576041,0,0.693147180559945,60,0,0,0,992,890,2273
394,53,10,103,5,15,-1.83659166810898,1.41503749927884,0.0145361093482848,0,1.79175946922805,60,1,3,1,1378,1204,2153
394,53,10,104,6,15,-1.92192809488736,3.16992500144231,0.0479969065549502,0,1.79175946922805,60,0,0,0,1534,1241,2323
394,53,10,105,7,15,-1.85855521187031,1.32192809488736,0.00882742847159331,0,3.17805383034795,60,1,0,0,1635,1198,1590
394,53,10,106,8,15,-1.79248125036058,1.13750352374993,0.00598632083303802,0,3.17805383034795,60,1,0,NaN,334,887,736
394,53,10,107,9,15,-1.72724860626392,1,0.00427254791507445,0,3.17805383034795,60,1,0,0,513,907,2729
394,53,10,108,10,15,-1.77832835373141,2.70043971814109,0.0184339033808786,0,3.87120101090789,60,0,0,NaN,1098,1181,2116
394,53,10,109,11,15,-1.72323142879762,1,0.00320836801836342,0,3.87120101090789,60,1,0,NaN,1206,895,1930
394,53,10,110,12,15,-1.66973671780348,0.906890595608518,0.00247340891981923,0,4.78749174278205,60,1,0,NaN,1060,837,1277
394,53,10,111,13,15,-1.73222166376165,3,0.0157658353475117,0,3.17805383034795,60,0,0,0,944,891,2533
394,53,10,112,14,15,-1.79248125036058,3.08746284125034,0.0150315899282196,0,1.79175946922805,60,0,0,0,1276,1009,1233
394,53,10,113,15,15,-1.74877259474022,1,0.00199911612770046,0,1.79175946922805,60,1,0,NaN,1144,305,1246
395,54,1,1,1,15,-1.92192809488736,2,0.0780719051126377,0,0,100,0,0,NaN,1226,980,2423
395,54,1,2,2,15,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,0,0,1248,1009,2537
395,54,1,3,3,15,-1.66449777920046,1,0.0147718639657485,0,1.79175946922805,100,1,0,0,466,1248,2282
