,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
LT1[106],0.126,0.177,-0.155,0.41,0.001,0.001,50118.031,49338.733,
LT1[107],0.183,0.105,0.017,0.349,0.0,0.0,48306.758,49511.993,
LT1[108],0.256,0.124,0.061,0.454,0.001,0.0,50480.819,49857.988,
LT1[109],0.219,0.215,-0.117,0.57,0.001,0.001,50628.267,49834.71,
LT1[110],0.16,0.113,-0.017,0.343,0.001,0.0,50370.66,49804.25,
LT1[111],0.276,0.084,0.142,0.409,0.0,0.0,50477.255,49598.478,
LT1[112],-0.391,0.128,-0.594,-0.187,0.001,0.0,50503.969,50409.422,
LT1[113],0.138,0.154,-0.111,0.381,0.001,0.0,49773.14,48331.827,
LT1[114],-0.182,0.104,-0.355,-0.022,0.0,0.0,49716.539,49800.617,
LT1[115],-0.407,0.189,-0.711,-0.108,0.001,0.001,50529.81,50285.085,
LT1[116],-0.155,0.116,-0.341,0.028,0.001,0.0,49401.302,49750.224,
LT1[117],0.118,0.119,-0.078,0.303,0.001,0.0,50298.544,50257.401,
LT1[118],-0.135,0.1,-0.297,0.023,0.0,0.0,48978.35,49376.354,
LT1[119],0.005,0.115,-0.177,0.189,0.001,0.0,49119.317,49166.754,
LT1[120],0.25,0.161,-0.008,0.508,0.001,0.001,50238.887,50257.401,
LT1[121],0.212,0.103,0.044,0.374,0.0,0.0,50182.474,49471.501,
LT1[122],-0.119,0.134,-0.326,0.1,0.001,0.0,49678.421,48274.123,
LT1[123],0.159,0.141,-0.065,0.385,0.001,0.0,49640.925,48457.467,
LT1[124],0.032,0.095,-0.118,0.187,0.0,0.0,49418.998,49383.089,
LT1[125],0.272,0.101,0.107,0.431,0.0,0.0,49983.16,49830.322,
LT1[126],0.029,0.142,-0.2,0.253,0.001,0.0,48311.636,49070.965,
LT1[127],0.267,0.13,0.065,0.48,0.001,0.0,49164.535,49924.557,
LT1[128],0.142,0.106,-0.03,0.309,0.0,0.0,49991.561,49585.536,
LT1[129],0.304,0.092,0.155,0.45,0.0,0.0,48738.272,49445.22,
LT1[130],0.163,0.141,-0.06,0.391,0.001,0.0,49931.081,49501.866,
LT1[131],0.211,0.16,-0.043,0.47,0.001,0.001,50446.579,49023.931,
LT1[132],0.275,0.211,-0.058,0.617,0.001,0.001,48669.488,48253.72,
LT1[133],0.212,0.146,-0.019,0.447,0.001,0.0,50268.895,49711.139,
LT1[134],0.252,0.138,0.032,0.475,0.001,0.0,49607.345,48548.157,
LT1[135],0.102,0.081,-0.029,0.229,0.0,0.0,49603.635,49238.775,
LT1[136],0.077,0.111,-0.103,0.251,0.0,0.0,50371.8,47245.017,
LT1[137],-0.578,0.12,-0.777,-0.391,0.001,0.0,49942.569,49383.089,
LT1[138],0.039,0.109,-0.133,0.216,0.0,0.0,49948.948,49789.969,
LT1[139],0.265,0.106,0.094,0.434,0.0,0.0,50134.706,49649.708,
LT1[140],0.184,0.108,0.006,0.352,0.0,0.0,50369.423,48888.839,
LT1[141],-0.01,0.09,-0.156,0.133,0.0,0.0,49598.741,49230.432,
LT1[142],0.469,0.169,0.195,0.736,0.001,0.001,50569.73,49669.554,
LT1[143],0.065,0.149,-0.173,0.303,0.001,0.0,50452.068,49512.547,
LT1[144],-0.146,0.136,-0.361,0.074,0.001,0.0,49675.196,48981.324,
LT2,-0.063,0.012,-0.083,-0.045,0.0,0.0,49716.775,50341.422,
LT3,-0.067,0.012,-0.085,-0.048,0.0,0.0,48651.97,48912.96,
LT4,0.194,0.012,0.175,0.213,0.0,0.0,48824.296,49678.143,
eps_LT,0.88,0.008,0.867,0.892,0.0,0.0,49023.786,48581.899,
SL0[0],-0.543,0.117,-0.728,-0.353,0.001,0.0,50173.655,50128.726,
SL0[1],-0.645,0.108,-0.82,-0.475,0.0,0.0,49766.655,49312.861,
SL0[2],-0.475,0.117,-0.658,-0.282,0.001,0.0,49654.287,48403.805,
SL0[3],-0.5,0.119,-0.687,-0.307,0.001,0.0,48908.276,47361.952,
SL0[4],-0.494,0.109,-0.664,-0.316,0.0,0.0,49352.191,48630.548,
