,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL1[141],-0.252,0.067,-0.359,-0.146,0.0,0.0,50042.983,48891.671,
SL1[142],-0.174,0.168,-0.44,0.097,0.001,0.001,50082.228,48013.584,
SL1[143],-0.605,0.167,-0.876,-0.343,0.001,0.001,49391.019,49751.729,
SL1[144],0.026,0.17,-0.253,0.289,0.001,0.001,47987.57,47560.358,
SL2,-0.002,0.009,-0.016,0.011,0.0,0.0,49799.07,49469.872,
SL3,0.059,0.009,0.045,0.073,0.0,0.0,49813.394,49877.439,
lambda0[0],0.058,0.026,0.022,0.094,0.0,0.0,50223.608,49584.859,
lambda0[1],0.122,0.042,0.057,0.179,0.0,0.0,50021.203,50045.383,
lambda0[2],0.098,0.04,0.04,0.153,0.0,0.0,49465.462,49752.39,
lambda0[3],0.087,0.031,0.039,0.128,0.0,0.0,49665.856,49761.708,
lambda0[4],0.088,0.032,0.039,0.132,0.0,0.0,50158.104,49306.581,
lambda0[5],0.074,0.029,0.032,0.113,0.0,0.0,49631.224,49500.962,
lambda0[6],0.071,0.024,0.033,0.104,0.0,0.0,49648.906,48421.604,
lambda0[7],0.053,0.029,0.015,0.089,0.0,0.0,49868.963,49400.522,
lambda0[8],0.049,0.018,0.022,0.074,0.0,0.0,50186.109,49971.014,
lambda0[9],0.082,0.028,0.04,0.122,0.0,0.0,49360.303,49184.456,
lambda0[10],0.058,0.023,0.023,0.09,0.0,0.0,49942.252,49760.962,
lambda0[11],0.066,0.037,0.017,0.112,0.0,0.0,49935.155,49398.88,
lambda0[12],0.062,0.023,0.027,0.093,0.0,0.0,49131.787,50514.632,
lambda0[13],0.051,0.025,0.016,0.083,0.0,0.0,50148.676,49421.348,
lambda0[14],0.075,0.04,0.021,0.126,0.0,0.0,49707.223,48977.628,
lambda0[15],0.05,0.024,0.016,0.081,0.0,0.0,50035.811,49502.969,
lambda0[16],0.105,0.057,0.029,0.177,0.0,0.0,50451.279,48562.191,
lambda0[17],0.055,0.034,0.012,0.096,0.0,0.0,48822.003,48890.318,
lambda0[18],0.047,0.036,0.006,0.088,0.0,0.0,49817.786,48897.336,
lambda0[19],0.106,0.052,0.034,0.175,0.0,0.0,50077.886,50003.874,
lambda0[20],0.047,0.023,0.015,0.077,0.0,0.0,50190.708,49671.239,
lambda0[21],0.038,0.021,0.01,0.065,0.0,0.0,49613.673,48805.332,
lambda0[22],0.12,0.043,0.056,0.182,0.0,0.0,50028.809,49663.257,
lambda0[23],0.093,0.05,0.024,0.155,0.0,0.0,50101.023,48907.782,
lambda0[24],0.073,0.035,0.024,0.12,0.0,0.0,50547.976,48899.228,
lambda0[25],0.078,0.042,0.021,0.131,0.0,0.0,50524.729,50042.653,
lambda0[26],0.075,0.023,0.039,0.108,0.0,0.0,49768.439,49462.037,
lambda0[27],0.022,0.017,0.003,0.041,0.0,0.0,49245.106,48934.207,
lambda0[28],0.056,0.03,0.016,0.094,0.0,0.0,49377.564,49333.626,
lambda0[29],0.093,0.039,0.037,0.146,0.0,0.0,49974.442,48734.171,
lambda0[30],0.051,0.031,0.011,0.089,0.0,0.0,49438.101,49460.603,
lambda0[31],0.064,0.041,0.013,0.113,0.0,0.0,49864.345,49311.53,
lambda0[32],0.036,0.027,0.005,0.067,0.0,0.0,50377.23,50042.726,
lambda0[33],0.078,0.043,0.02,0.132,0.0,0.0,49595.331,49876.853,
lambda0[34],0.116,0.048,0.045,0.181,0.0,0.0,48337.117,50007.762,
lambda0[35],0.103,0.037,0.047,0.156,0.0,0.0,49263.003,48694.642,
lambda0[36],0.122,0.046,0.055,0.187,0.0,0.0,49796.115,49626.872,
lambda0[37],0.075,0.029,0.031,0.114,0.0,0.0,49085.613,49619.505,
lambda0[38],0.049,0.02,0.019,0.077,0.0,0.0,50624.802,49505.351,
lambda0[39],0.049,0.022,0.018,0.079,0.0,0.0,49470.668,50351.549,
lambda0[40],0.1,0.033,0.05,0.147,0.0,0.0,50399.814,49668.493,
lambda0[41],0.062,0.026,0.024,0.097,0.0,0.0,49764.518,50302.655,
lambda0[42],0.1,0.031,0.051,0.144,0.0,0.0,49971.079,50090.492,
lambda0[43],0.115,0.045,0.048,0.176,0.0,0.0,49301.172,48931.222,
lambda0[44],0.106,0.04,0.046,0.16,0.0,0.0,49837.615,50513.599,
lambda0[45],0.054,0.029,0.016,0.092,0.0,0.0,49068.691,49676.549,
lambda0[46],0.118,0.052,0.045,0.189,0.0,0.0,50891.66,50165.403,
lambda0[47],0.102,0.042,0.04,0.158,0.0,0.0,48540.921,48981.45,
lambda0[48],0.03,0.013,0.011,0.048,0.0,0.0,50551.95,49919.561,
lambda0[49],0.088,0.043,0.03,0.145,0.0,0.0,49204.346,49837.0,
lambda0[50],0.093,0.031,0.047,0.136,0.0,0.0,50059.506,49733.44,
lambda0[51],0.094,0.041,0.035,0.149,0.0,0.0,50660.921,47803.328,
lambda0[52],0.036,0.02,0.01,0.062,0.0,0.0,49459.894,48852.409,
lambda0[53],0.06,0.038,0.013,0.106,0.0,0.0,49914.35,49215.383,
lambda0[54],0.107,0.047,0.04,0.17,0.0,0.0,50285.977,50568.957,
lambda0[55],0.052,0.028,0.014,0.087,0.0,0.0,49388.986,49908.247,
lambda0[56],0.068,0.037,0.018,0.114,0.0,0.0,49429.479,49466.553,
lambda0[57],0.071,0.035,0.023,0.116,0.0,0.0,49954.979,48699.412,
lambda0[58],0.047,0.02,0.019,0.074,0.0,0.0,49696.305,49441.865,
lambda0[59],0.089,0.035,0.039,0.139,0.0,0.0,50071.313,49836.244,
lambda0[60],0.057,0.024,0.023,0.089,0.0,0.0,49554.6,49709.954,
lambda0[61],0.023,0.015,0.005,0.041,0.0,0.0,49404.93,48660.981,
lambda0[62],0.076,0.027,0.036,0.115,0.0,0.0,49359.982,49627.096,
lambda0[63],0.09,0.038,0.035,0.142,0.0,0.0,48017.166,49346.861,
lambda0[64],0.099,0.045,0.036,0.159,0.0,0.0,49613.216,49623.023,
lambda0[65],0.057,0.036,0.012,0.101,0.0,0.0,49256.247,49418.944,
lambda0[66],0.051,0.028,0.013,0.086,0.0,0.0,50307.775,48776.406,
lambda0[67],0.028,0.017,0.006,0.048,0.0,0.0,49655.358,48973.957,
lambda0[68],0.047,0.023,0.016,0.077,0.0,0.0,50789.46,50642.973,
lambda0[69],0.074,0.036,0.024,0.121,0.0,0.0,50475.866,49438.831,
lambda0[70],0.094,0.032,0.046,0.139,0.0,0.0,48924.786,49410.254,
lambda0[71],0.102,0.05,0.034,0.169,0.0,0.0,50439.706,49624.79,
lambda0[72],0.042,0.016,0.019,0.065,0.0,0.0,50245.844,49626.729,
lambda0[73],0.054,0.024,0.019,0.086,0.0,0.0,46956.272,48697.462,
lambda0[74],0.017,0.009,0.005,0.028,0.0,0.0,49418.594,49833.117,
lambda0[75],0.089,0.056,0.019,0.157,0.0,0.0,49247.656,48836.453,
lambda0[76],0.077,0.049,0.017,0.136,0.0,0.0,50054.511,48833.026,
lambda0[77],0.109,0.07,0.022,0.192,0.0,0.001,50633.578,49877.858,
lambda0[78],0.034,0.014,0.013,0.053,0.0,0.0,49318.302,49750.264,
lambda0[79],0.102,0.042,0.04,0.159,0.0,0.0,49864.955,50181.745,
lambda0[80],0.067,0.026,0.029,0.102,0.0,0.0,50310.026,50004.22,
lambda0[81],0.031,0.015,0.01,0.05,0.0,0.0,50091.615,49188.084,
lambda0[82],0.118,0.057,0.037,0.191,0.0,0.0,49198.491,49070.509,
lambda0[83],0.045,0.02,0.016,0.071,0.0,0.0,48595.198,48385.034,
lambda0[84],0.037,0.023,0.007,0.064,0.0,0.0,48961.425,48830.475,
lambda0[85],0.034,0.021,0.007,0.059,0.0,0.0,49178.457,49583.83,
lambda0[86],0.084,0.038,0.03,0.134,0.0,0.0,50232.125,49667.045,
lambda0[87],0.054,0.026,0.017,0.088,0.0,0.0,49877.075,48175.406,
lambda0[88],0.038,0.017,0.014,0.062,0.0,0.0,49313.542,49361.956,
lambda0[89],0.079,0.059,0.01,0.145,0.0,0.001,48652.065,49211.391,
lambda0[90],0.034,0.015,0.012,0.054,0.0,0.0,49964.853,49175.617,
lambda0[91],0.057,0.021,0.026,0.086,0.0,0.0,50603.59,49918.504,
lambda0[92],0.075,0.029,0.032,0.115,0.0,0.0,49275.044,49312.333,
lambda0[93],0.085,0.031,0.039,0.129,0.0,0.0,49532.812,48417.806,
lambda0[94],0.062,0.023,0.028,0.094,0.0,0.0,49179.064,49504.476,
lambda0[95],0.044,0.016,0.02,0.067,0.0,0.0,50707.227,49001.857,
lambda0[96],0.013,0.008,0.003,0.022,0.0,0.0,49767.405,48882.857,
lambda0[97],0.057,0.061,0.003,0.115,0.0,0.001,50272.542,48527.503,
lambda0[98],0.057,0.022,0.024,0.088,0.0,0.0,49667.631,48579.349,
lambda0[99],0.09,0.056,0.02,0.159,0.0,0.0,50020.567,49669.564,
lambda0[100],0.089,0.033,0.041,0.135,0.0,0.0,50296.062,49751.047,
lambda0[101],0.07,0.029,0.027,0.109,0.0,0.0,50067.704,50001.558,
lambda0[102],0.068,0.033,0.023,0.111,0.0,0.0,50298.854,48655.895,
lambda0[103],0.036,0.018,0.011,0.059,0.0,0.0,48885.003,49014.679,
lambda0[104],0.049,0.024,0.015,0.079,0.0,0.0,49397.274,49429.872,
lambda0[105],0.056,0.027,0.018,0.09,0.0,0.0,49645.621,49298.403,
lambda0[106],0.101,0.045,0.036,0.16,0.0,0.0,49444.839,49142.846,
lambda0[107],0.098,0.031,0.049,0.141,0.0,0.0,50448.908,49737.476,
lambda0[108],0.018,0.019,0.001,0.036,0.0,0.0,49249.269,49357.239,
lambda0[109],0.055,0.042,0.007,0.102,0.0,0.0,49486.31,49379.854,
lambda0[110],0.047,0.019,0.018,0.072,0.0,0.0,50319.452,50172.89,
lambda0[111],0.04,0.015,0.017,0.061,0.0,0.0,49180.539,48856.951,
lambda0[112],0.067,0.03,0.024,0.106,0.0,0.0,50522.354,48799.074,
lambda0[113],0.057,0.027,0.019,0.093,0.0,0.0,49914.777,49462.469,
lambda0[114],0.093,0.032,0.045,0.138,0.0,0.0,50680.571,49418.283,
lambda0[115],0.033,0.035,0.002,0.066,0.0,0.001,50230.084,49597.795,
lambda0[116],0.056,0.025,0.021,0.089,0.0,0.0,48681.741,49254.686,
lambda0[117],0.04,0.019,0.012,0.065,0.0,0.0,49800.046,50086.788,
lambda0[118],0.02,0.013,0.004,0.035,0.0,0.0,49786.609,50300.404,
lambda0[119],0.048,0.024,0.015,0.079,0.0,0.0,50241.237,49886.841,
lambda0[120],0.104,0.051,0.033,0.17,0.0,0.0,49712.965,48994.428,
lambda0[121],0.047,0.02,0.019,0.074,0.0,0.0,47292.85,49142.563,
lambda0[122],0.1,0.045,0.037,0.159,0.0,0.0,49608.195,49298.354,
lambda0[123],0.085,0.038,0.032,0.136,0.0,0.0,49840.609,49595.262,
lambda0[124],0.04,0.017,0.016,0.063,0.0,0.0,50182.667,50028.301,
lambda0[125],0.034,0.014,0.014,0.053,0.0,0.0,50128.08,49216.519,
lambda0[126],0.071,0.034,0.023,0.115,0.0,0.0,49020.414,48855.338,
lambda0[127],0.104,0.038,0.049,0.158,0.0,0.0,49832.793,48842.515,
lambda0[128],0.018,0.014,0.003,0.033,0.0,0.0,49981.741,48360.832,
lambda0[129],0.068,0.023,0.035,0.101,0.0,0.0,50520.936,48453.936,
lambda0[130],0.124,0.051,0.048,0.193,0.0,0.0,49725.9,49749.999,
lambda0[131],0.107,0.048,0.038,0.172,0.0,0.0,50393.086,49471.54,
lambda0[132],0.088,0.048,0.023,0.147,0.0,0.0,49037.656,48681.25,
lambda0[133],0.107,0.043,0.044,0.166,0.0,0.0,49674.32,50002.725,
lambda0[134],0.094,0.039,0.039,0.148,0.0,0.0,50750.821,49792.279,
lambda0[135],0.025,0.011,0.01,0.04,0.0,0.0,49377.307,50217.03,
lambda0[136],0.094,0.033,0.046,0.141,0.0,0.0,49311.288,48349.459,
lambda0[137],0.056,0.025,0.02,0.089,0.0,0.0,49648.703,48007.133,
lambda0[138],0.083,0.028,0.04,0.123,0.0,0.0,50166.039,48337.228,
lambda0[139],0.052,0.022,0.02,0.082,0.0,0.0,49643.921,49873.854,
lambda0[140],0.098,0.034,0.046,0.144,0.0,0.0,49672.562,49016.088,
lambda0[141],0.045,0.017,0.02,0.07,0.0,0.0,49235.982,48372.888,
lambda0[142],0.12,0.054,0.043,0.192,0.0,0.0,50291.538,50043.465,
lambda0[143],0.099,0.044,0.038,0.158,0.0,0.0,49535.672,49543.144,
lambda0[144],0.144,0.06,0.058,0.228,0.0,0.0,50438.437,48739.589,
beta_LA[0],-1.726,0.589,-2.67,-0.786,0.003,0.002,49021.918,48398.798,
beta_LA[1],-1.165,0.437,-1.848,-0.454,0.002,0.001,48913.125,49886.395,
beta_LA[2],-0.842,0.48,-1.611,-0.079,0.002,0.002,48672.421,47828.125,
beta_LA[3],-1.852,0.493,-2.636,-1.064,0.002,0.002,49469.615,49542.123,
beta_LA[4],-1.565,0.517,-2.382,-0.729,0.002,0.002,49621.008,49292.766,
beta_LA[5],-1.883,0.498,-2.668,-1.08,0.002,0.002,49682.565,48017.99,
beta_LA[6],-1.607,0.462,-2.331,-0.856,0.002,0.001,49589.075,48462.968,
beta_LA[7],-1.306,0.625,-2.297,-0.3,0.003,0.002,48993.834,48221.789,
beta_LA[8],-0.931,0.423,-1.594,-0.246,0.002,0.001,49894.363,49461.183,
beta_LA[9],-1.464,0.461,-2.193,-0.721,0.002,0.001,49017.208,49351.07,
beta_LA[10],-1.309,0.498,-2.098,-0.509,0.002,0.002,47990.002,49009.397,
beta_LA[11],-1.576,0.637,-2.576,-0.537,0.003,0.002,50439.25,48617.437,
beta_LA[12],-1.746,0.46,-2.451,-0.987,0.002,0.001,49573.31,50041.74,
beta_LA[13],-0.718,0.531,-1.558,0.136,0.002,0.002,50820.439,48755.187,
beta_LA[14],-0.981,0.626,-1.978,0.016,0.003,0.002,48845.768,49001.764,
beta_LA[15],-1.262,0.583,-2.189,-0.322,0.003,0.002,50382.642,48561.285,
beta_LA[16],-1.169,0.664,-2.221,-0.097,0.003,0.002,49095.074,47782.579,
beta_LA[17],-1.108,0.669,-2.16,-0.014,0.003,0.002,49821.239,50343.176,
beta_LA[18],-0.843,0.757,-2.035,0.383,0.003,0.002,49957.818,50212.849,
beta_LA[19],-0.813,0.567,-1.725,0.088,0.003,0.002,49356.2,49675.773,
beta_LA[20],-0.999,0.549,-1.864,-0.104,0.002,0.002,50479.541,49760.562,
beta_LA[21],-1.374,0.623,-2.364,-0.371,0.003,0.002,48757.158,47912.616,
