,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL1[73],0.109,0.086,-0.031,0.242,0.0,0.0,50149.571,49514.24,
SL1[74],-0.391,0.07,-0.502,-0.278,0.0,0.0,49404.249,49667.152,
SL1[75],-0.261,0.226,-0.623,0.094,0.001,0.001,49663.167,49366.749,
SL1[76],0.185,0.221,-0.173,0.532,0.001,0.001,49100.06,49624.446,
SL1[77],0.107,0.347,-0.447,0.663,0.002,0.001,50180.324,49913.979,
SL1[78],-0.132,0.068,-0.24,-0.023,0.0,0.0,49709.515,49502.027,
SL1[79],-0.246,0.096,-0.395,-0.09,0.0,0.0,49796.067,49800.948,
SL1[80],-0.249,0.09,-0.391,-0.103,0.0,0.0,49551.149,49167.893,
SL1[81],-0.255,0.072,-0.371,-0.141,0.0,0.0,50453.953,48381.607,
SL1[82],0.302,0.233,-0.066,0.676,0.001,0.001,49358.485,49886.952,
SL1[83],-0.115,0.091,-0.259,0.031,0.0,0.0,49274.733,48718.311,
SL1[84],0.002,0.093,-0.148,0.149,0.0,0.0,50094.041,48522.966,
SL1[85],0.024,0.097,-0.135,0.176,0.0,0.0,49332.537,49006.325,
SL1[86],-0.062,0.141,-0.293,0.158,0.001,0.0,49872.933,49537.956,
SL1[87],0.231,0.095,0.078,0.383,0.0,0.0,49637.622,49497.175,
SL1[88],-0.152,0.088,-0.292,-0.011,0.0,0.0,50303.538,49775.132,
SL1[89],0.028,0.317,-0.487,0.524,0.001,0.001,48819.936,50045.895,
SL1[90],-0.162,0.077,-0.29,-0.043,0.0,0.0,50424.488,49467.405,
SL1[91],-0.142,0.071,-0.255,-0.03,0.0,0.0,50299.877,49525.765,
SL1[92],-0.089,0.092,-0.234,0.06,0.0,0.0,50524.361,49035.321,
SL1[93],-0.029,0.099,-0.186,0.132,0.0,0.0,49385.037,48514.802,
SL1[94],0.002,0.076,-0.12,0.122,0.0,0.0,49355.614,49228.142,
SL1[95],-0.176,0.067,-0.284,-0.069,0.0,0.0,50066.302,49339.255,
SL1[96],-0.036,0.053,-0.121,0.048,0.0,0.0,49760.565,49159.327,
SL1[97],0.067,0.316,-0.434,0.575,0.001,0.001,50138.249,49707.537,
SL1[98],0.01,0.086,-0.13,0.145,0.0,0.0,49965.469,49339.163,
SL1[99],-0.115,0.337,-0.642,0.433,0.002,0.001,48215.29,48988.874,
SL1[100],0.041,0.095,-0.11,0.193,0.0,0.0,50058.963,50046.356,
SL1[101],-0.171,0.09,-0.314,-0.029,0.0,0.0,49272.225,48617.089,
SL1[102],0.232,0.169,-0.035,0.505,0.001,0.001,50606.883,48815.07,
SL1[103],-0.192,0.08,-0.32,-0.064,0.0,0.0,50287.696,49428.48,
SL1[104],0.068,0.178,-0.219,0.352,0.001,0.001,50156.404,49099.015,
SL1[105],-0.236,0.099,-0.397,-0.08,0.0,0.0,49581.021,49793.077,
SL1[106],-0.196,0.218,-0.545,0.15,0.001,0.001,50775.172,49960.652,
SL1[107],-0.043,0.093,-0.189,0.109,0.0,0.0,49997.651,47894.577,
SL1[108],-0.155,0.116,-0.34,0.032,0.001,0.0,49014.248,49117.012,
SL1[109],-0.312,0.109,-0.489,-0.139,0.0,0.0,49609.954,50002.725,
SL1[110],-0.274,0.092,-0.423,-0.129,0.0,0.0,49094.886,49332.47,
SL1[111],0.024,0.056,-0.065,0.114,0.0,0.0,48630.461,49399.466,
SL1[112],0.186,0.153,-0.065,0.427,0.001,0.0,50380.492,50110.634,
SL1[113],-0.004,0.098,-0.162,0.15,0.0,0.0,49042.898,49178.727,
SL1[114],-0.498,0.085,-0.634,-0.363,0.0,0.0,49667.747,48403.996,
SL1[115],-0.36,0.126,-0.556,-0.154,0.001,0.0,50171.334,49802.266,
