,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL0[103],0.682,0.08,0.552,0.81,0.0,0.0,30122.968,13618.543,1.0
SL0[104],0.707,0.131,0.498,0.915,0.001,0.001,16061.747,15048.521,1.0
SL0[105],0.546,0.106,0.374,0.712,0.001,0.0,34835.696,13892.027,1.001
SL0[106],0.535,0.215,0.192,0.876,0.002,0.001,11877.961,14426.318,1.0
SL0[107],0.419,0.077,0.292,0.536,0.0,0.0,31170.785,15030.298,1.0
SL0[108],-0.122,0.352,-0.669,0.448,0.009,0.006,1650.083,3340.068,1.001
SL0[109],0.559,0.244,0.17,0.952,0.002,0.002,11532.751,14539.553,1.0
SL0[110],0.489,0.077,0.368,0.616,0.0,0.0,24790.549,14615.894,1.0
SL0[111],0.665,0.058,0.573,0.758,0.0,0.0,30621.982,13973.626,1.0
SL0[112],0.352,0.157,0.108,0.606,0.001,0.001,12829.865,14081.336,1.0
SL0[113],0.558,0.109,0.391,0.736,0.001,0.0,25345.189,15254.038,1.0
SL0[114],0.518,0.082,0.388,0.648,0.0,0.0,30281.738,14713.83,1.0
SL0[115],0.549,0.141,0.334,0.783,0.001,0.001,29711.596,14614.974,1.0
SL0[116],0.401,0.152,0.151,0.634,0.002,0.002,4766.376,8610.959,1.0
SL0[117],0.257,0.083,0.123,0.388,0.0,0.0,33866.668,12970.554,1.0
SL0[118],0.34,0.07,0.222,0.445,0.0,0.0,29452.511,14298.669,1.0
SL0[119],0.668,0.152,0.424,0.907,0.002,0.001,8475.447,11090.191,1.0
SL0[120],0.473,0.128,0.255,0.665,0.001,0.001,29999.224,15305.905,1.0
SL0[121],0.485,0.073,0.37,0.602,0.0,0.0,28748.324,14347.139,1.0
SL0[122],0.776,0.111,0.6,0.956,0.001,0.0,26773.951,15709.223,1.0
SL0[123],0.489,0.173,0.218,0.765,0.002,0.001,9330.085,12787.885,1.0
SL0[124],0.734,0.064,0.637,0.84,0.0,0.0,34303.662,15109.881,1.0
SL0[125],0.631,0.069,0.521,0.742,0.0,0.0,29723.081,14053.098,1.0
SL0[126],0.706,0.105,0.534,0.87,0.001,0.0,23589.42,15092.25,1.0
SL0[127],0.685,0.115,0.504,0.869,0.001,0.001,22612.814,15901.844,1.0
SL0[128],0.78,0.096,0.626,0.933,0.001,0.001,14187.041,14995.812,1.0
SL0[129],0.814,0.068,0.708,0.922,0.0,0.0,29379.492,14841.647,1.0
SL0[130],0.82,0.152,0.573,1.058,0.001,0.001,21734.762,14906.052,1.0
SL0[131],0.637,0.128,0.432,0.839,0.001,0.001,28055.987,14492.602,1.0
SL0[132],0.471,0.203,0.14,0.792,0.001,0.001,19015.207,15559.126,1.0
SL0[133],0.929,0.175,0.649,1.206,0.002,0.001,10769.321,13740.702,1.0
SL0[134],0.677,0.152,0.435,0.922,0.001,0.001,19639.11,15560.13,1.0
SL0[135],0.52,0.055,0.435,0.611,0.0,0.0,31495.444,15608.324,1.0
SL0[136],0.393,0.084,0.258,0.525,0.0,0.0,30516.246,15353.219,1.0
SL0[137],0.47,0.09,0.324,0.614,0.001,0.0,26021.864,13962.476,1.0
SL0[138],0.547,0.086,0.413,0.687,0.001,0.0,24486.818,16437.164,1.0
SL0[139],0.426,0.098,0.272,0.586,0.001,0.001,17894.693,14813.153,1.0
SL0[140],0.817,0.107,0.65,0.991,0.001,0.001,16907.995,16566.196,1.0
SL0[141],0.561,0.066,0.455,0.666,0.0,0.0,28225.046,14577.713,1.0
SL0[142],0.748,0.156,0.503,0.999,0.001,0.001,21957.919,14573.959,1.0
SL0[143],0.284,0.124,0.084,0.477,0.001,0.001,30996.346,15603.725,1.0
SL0[144],1.079,0.2,0.763,1.404,0.001,0.001,18733.548,14551.021,1.0
SL1[0],-0.236,0.161,-0.508,0.006,0.001,0.001,24230.035,14621.495,1.0
SL1[1],-0.013,0.093,-0.163,0.135,0.001,0.001,28460.087,14037.283,1.0
SL1[2],-0.154,0.085,-0.287,-0.015,0.001,0.0,26290.89,14957.566,1.0
SL1[3],-0.158,0.137,-0.383,0.056,0.001,0.001,21462.682,13007.729,1.0
SL1[4],-0.088,0.154,-0.321,0.173,0.001,0.001,23425.245,14672.311,1.0
SL1[5],-0.475,0.105,-0.644,-0.31,0.001,0.001,17190.221,14398.019,1.0
SL1[6],-0.205,0.112,-0.383,-0.028,0.001,0.001,22081.977,14301.159,1.0
SL1[7],-0.017,0.096,-0.169,0.139,0.001,0.001,25193.286,15119.616,1.0
SL1[8],-0.241,0.054,-0.331,-0.158,0.0,0.0,24691.348,14884.885,1.0
SL1[9],0.098,0.095,-0.052,0.251,0.001,0.0,23992.04,15808.359,1.0
SL1[10],0.096,0.138,-0.119,0.319,0.001,0.001,11328.321,13768.923,1.0
SL1[11],-0.318,0.134,-0.535,-0.107,0.001,0.001,24953.704,15162.766,1.0
SL1[12],-0.035,0.093,-0.176,0.118,0.001,0.001,18291.32,15346.449,1.0
SL1[13],-0.279,0.086,-0.418,-0.144,0.001,0.0,28870.409,14687.331,1.0
SL1[14],-0.529,0.121,-0.726,-0.338,0.001,0.001,22338.32,15084.078,1.0
SL1[15],-0.094,0.248,-0.495,0.298,0.003,0.002,5946.384,9624.751,1.0
SL1[16],0.701,0.545,-0.174,1.562,0.007,0.005,6013.061,10363.209,1.0
SL1[17],-0.348,0.103,-0.506,-0.177,0.001,0.0,25289.497,15130.424,1.0
SL1[18],0.145,0.12,-0.055,0.328,0.001,0.001,25346.666,15273.786,1.0
SL1[19],-0.251,0.114,-0.436,-0.073,0.001,0.001,24101.38,15012.943,1.0
SL1[20],-0.101,0.088,-0.241,0.04,0.001,0.0,23925.56,15033.533,1.0
